id,Rooms,Square,Price,Metro,Address,Url
1,3,80.6,5819738,Девяткино ,"б-р Менделеева, Дом 17",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_80.6_m_1723_et._928904865
2,1,37,2894760,Проспект Просвещения ,"ш. Суздальское, корп. 3А",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_37_m_225_et._1220760707
3,1,26,2051400,Проспект Просвещения ,"ш. Суздальское, корп. 3А",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_26_m_225_et._992776225
4,2,49,3744120,Проспект Просвещения ,"ш. Суздальское, корп. 3А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_49_m_225_et._933051593
5,0,23,1603000,Комендантский проспект ,"Комендантский проспект, 57к1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23_m_819_et._998340887
6,2,69.8,11204743,Фрунзенская ,"Россия, Санкт-Петербург, Заозёрная улица, 3к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_69.8_m_514_et._998867818
7,2,62.5,8200000,Ладожская ,"ул Лазо, 5",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_62.5_m_711_et._1074636012
8,0,27.5,2600000,Звездная ,"Московское шоссе, 13",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27.5_m_318_et._1003843125
9,2,50,5300000,Лесная ,ул Маршала Тухачевского,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_50_m_79_et._923299491
10,2,55,4242000,Девяткино ,"посёлок Мурино, бульвар Менделеева, 11к4",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_55_m_920_et._1012477428
11,2,61,3517000,Девяткино ,Девяткино,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_218_et._1016732854
12,0,32,2990000,Девяткино ,Шувалова 16/9,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_32_m_1418_et._1113126571
13,3,86.7,10400000,Старая деревня ,ул Савушкина,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_86.7_m_313_et._1019043913
14,1,38.4,4400000,Проспект Ветеранов ,ул Адмирала Трибуца д 8,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38.4_m_312_et._1126559336
15,3,81.1,13327773,Площадь Ленина ,"Пискаревский пр., д. 3, литера В",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_81.1_m_1112_et._1024780954
16,3,111,21000000,Маяковская ,"Невский пр., 94",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_111_m_24_et._1095672832
17,0,27,3200000,Комендантский проспект ,Королева пр-кт 69,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_1419_et._1048152195
18,2,49.4,4940000,Обводный канал ,"Лиговский пр-кт, 131",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_49.4_m_16_et._1170518917
19,0,23,1860000,Проспект Ветеранов ,"Петергофское шоссе, 84к8",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23_m_58_et._1027842848
20,2,65,8557000,Московская ,ул. Костюшко,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_65_m_222_et._1036868625
21,0,24,2645000,Лесная ,Маршала Блюхера пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_24_m_1924_et._1120172514
22,2,53.9,5680034,Комендантский проспект ,ул Глухарская,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_53.9_m_1018_et._1045313872
23,3,82,5400000,Пролетарская ,"Октябрьская набережная, 124к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_82_m_1123_et._1047984488
24,1,36.9,3200000,Девяткино ,"Девяткино, Привокзальная",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_36.9_m_2121_et._1056271406
25,0,30,2560000,Ладожская ,"ул. Бестужевская, д. 2, корп. 2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30_m_523_et._1030285015
26,3,65,6540000,Технологический ин-т I ,"ул Подольская, 15",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_65_m_45_et._1188112746
27,2,42.5,2959392,Девяткино ,Токсовское шоссе,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_42.5_m_1518_et._1059308222
28,1,39.6,5000000,Удельная ,"ул Афанасьевская, 1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39.6_m_810_et._1012977409
29,1,33.4,2271880,Комендантский проспект ,"Комендантский проспект, 57к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33.4_m_519_et._1061227526
30,2,59.6,7907683,Фрунзенская ,ул. Красуцкого,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_59.6_m_616_et._1102914154
31,2,59.3,5887000,Проспект Ветеранов ,"ул. Адмирала Трибуца,  д. 8-А",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_59.3_m_218_et._1088346914
32,0,26,2470000,Звездная ,пр-кт Дунайский,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26_m_1722_et._1120638193
33,2,53,5500000,Площадь Восстания ,6 советская 31,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_53_m_35_et._1129190238
34,0,18.4,1946667,Комендантский проспект ,ул Глухарская,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_18.4_m_219_et._1175675908
35,0,26,2900000,Комендантский проспект ,"Комендантский пр., Дом 2.1",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26_m_1225_et._1209710321
36,3,117.8,7575000,Пионерская ,Зеленогорская ул.,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_117.8_m_425_et._1195885700
37,1,33.1,3400000,Звездная ,"Московское шоссе, 13",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33.1_m_218_et._1203255546
38,0,27,2366179,Девяткино ,ул. Шувалова 6,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_1420_et._1204073847
39,1,40.3,2999370,Гражданский проспект ,аллея Евгения Шварца,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40.3_m_1625_et._1219312226
40,4,150,25000000,Чкаловская ,"Пионерская ул, 50",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_150_m_1011_et._775550298
41,3,100,20000000,Петроградская ,"Каменноостровский пр-кт, д. 32",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_100_m_45_et._764644524
42,1,32.3,3500000,Звездная ,ул.Звездная д. 22,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_32.3_m_69_et._1210398720
43,2,42,3800000,Старая деревня ,"Липовая аллея, 11",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_42_m_55_et._962157653
44,0,27.7,2070000,Девяткино ,Авиаторов Балтики пр.,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27.7_m_2525_et._1058782345
45,1,33,3200000,Купчино ,"п. Шушары, Новгородский пр-кт 8",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_2425_et._1090894976
46,2,42.6,2800000,Старая деревня ,"Г. Кронштадт ул, Мануильского 1/8",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_42.6_m_25_et._1205878516
47,2,61,6570000,Московская ,Пушкин Магазейная 28,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_22_et._126914499
48,1,39,3380000,Гражданский проспект ,ул Улица Корнея Чуковского дом 7 корп.4,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_39_m_1818_et._1063382625
49,1,45,4000000,Чернышевская ,"Чернышевского пр-кт, 11/57",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_45_m_14_et._1049963752
50,4,134,44900000,Невский проспект ,"ул Большая Конюшенная,19/8",https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_134_m_46_et._955266829
51,3,130,31900000,Чернышевская ,Ул. ТАВРИЧЕСКАЯ 15 кв. 15,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_130_m_45_et._598113998
52,0,26,2500000,Купчино ,"Ростовская улица, 13-15",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26_m_29_et._958023044
53,2,51.6,6300000,Ленинский проспект ,"Ленинский проспект, 91",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_51.6_m_1116_et._1162077146
54,3,125,22999999,Старая деревня ,"Приморский проспект, 62к1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_125_m_1313_et._925330052
55,2,80,9000000,Удельная ,"ул Манчестерская, 10к2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_80_m_916_et._843371103
56,2,47.1,3300000,Купчино ,Колпино ул.Труда д20/7,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_47.1_m_15_et._930379125
57,3,72.3,5999000,Садовая ,"Писарева ул., д. 14",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_72.3_m_25_et._919031118
58,3,59,4700000,Звездная ,космонавтов дом94,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_59_m_35_et._1192083428
59,3,115,17000000,Удельная ,"Костромской проспект, дом 48",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_115_m_210_et._1005016128
60,2,60,3695000,Проспект Просвещения ,"п. Парголово, ул Тихоокеанская д.12",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_60_m_1119_et._880621604
61,2,61,3750000,Купчино ,"п. Шушары, Вилеровский пер. д.8",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_61_m_1123_et._880618878
62,0,27,2990000,Купчино ,"п. Шушары, Вилеровский переулок, д.6",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_27_m_1223_et._1116352954
63,4,73.3,6100000,Купчино ,ул Купчинская д.20 к.2,https://www.avito.ru/sankt-peterburg/kvartiry/4-k_kvartira_73.3_m_89_et._1023669188
64,1,41.2,3800000,Проспект Просвещения ,Выборгское шоссе д.31,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.2_m_712_et._1211426163
65,2,57,4870000,Девяткино ,Бульвар Менделеева,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_57_m_1421_et._1191106788
66,0,23.7,1970000,Девяткино ,"Петровский б-р/пр. Авиаторов Балтики, Дом 3",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23.7_m_2224_et._570224183
67,2,54.6,3750000,Девяткино ,"ул. Шувалова, Дом 6",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_54.6_m_1019_et._989490220
68,1,35,3600000,Автово ,"ул Маршала Казакова, дом 78,",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_35_m_220_et._1017136385
69,2,45,4500000,Гражданский проспект ,"Гражданский пр-кт, 108Ак2",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_45_m_55_et._1071143435
71,1,38,2650000,Купчино ,"посёлок Шушары, Новгородский проспект, 6",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_38_m_1224_et._1088381747
72,3,101,12500000,Василеостровская ,"18-я линия Васильевского острова, 45",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_101_m_29_et._1129779329
