Number,Rooms,Square,Price,Metro,Address,Url
530,1-к квартира,34.0,2835000,Улица Дыбенко ,"Россия, Санкт-Петербург, улица Дыбенко, 42",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_34_m_223_et._1165835888
142,3-к квартира,122.0,18000000,Владимирская ,Графский пер,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_122_m_44_et._1023217778
705,1-к квартира,44.1,5870000,Площадь Восстания ,"ул. Кременчугская, д. 19, корп. 3А",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_44.1_m_510_et._1085057440
737,2-к квартира,58.0,4800000,Проспект Большевиков ,ул Ленинградская 3,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_58_m_1212_et._1043725974
242,2-к квартира,68.0,5999000,Девяткино ,Скандинавский проезд 2,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_68_m_2425_et._1099951644
771,Студия,23.8,2120000,Девяткино ,Авиаторов Балтики 15,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_23.8_m_1722_et._1141762510
364,2-к квартира,52.0,4500000,Девяткино ,"ул. Графская, д. 8",https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52_m_1314_et._944499004
624,Студия,26.0,3200000,Ладожская ,Энергетиков пр-кт,https://www.avito.ru/sankt-peterburg/kvartiry/studiya_26_m_1521_et._1182658332
31,1-к квартира,28.0,2300000,Проспект Ветеранов ,Красное Село Гатчинское шоссе д.7 к.1,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_28_m_55_et._1185419722
666,Студия,15.6,1850000,Улица Дыбенко ,"ул Подвойского, 33к2",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_15.6_m_110_et._938647247
110,1-к квартира,31.0,4900000,Звездная ,"ул Орджоникидзе, 41к2",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_25_et._1107165111
550,3-к квартира,91.4,11690000,Василеостровская ,"Россия, Санкт-Петербург, набережная реки Смоленки, 3к2",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_91.4_m_310_et._1026131310
354,1-к квартира,31.0,2188915,Проспект Большевиков ,ул Русановская улица,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31_m_423_et._1068423975
690,3-к квартира,76.3,9680000,Московская ,Алтайская д.20,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_76.3_m_25_et._964752430
302,3-к квартира,57.0,6875000,Ладожская ,"Энтузиастов пр-кт, 20к1",https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_57_m_1117_et._1158247692
151,1-к квартира,42.5,5050000,Академическая ,Верности д.17,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_42.5_m_1619_et._1123130049
495,Студия,30.0,1820000,Ладожская ,"Россия, Санкт-Петербург, Заневский проспект, 69",https://www.avito.ru/sankt-peterburg/kvartiry/studiya_30_m_15_et._1137397218
487,1-к квартира,56.0,5200000,Московская ,Краснопутиловская д.111,https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_56_m_1011_et._999346788
393,1-к квартира,40.0,4000000,Комендантский проспект ,"Парашютная ул., д. 56, корп. 3",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_40_m_1819_et._871014712
61,2-к квартира,44.8,3400000,Проспект Ветеранов ,ул Гвардейская,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_44.8_m_25_et._1067106088
259,2-к квартира,52.3,4570000,Девяткино ,воронцрвский бульвар,https://www.avito.ru/sankt-peterburg/kvartiry/2-k_kvartira_52.3_m_1217_et._1004631134
401,1-к квартира,41.3,3920000,Пролетарская ,"ул Ново-Александровская, 22а",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_41.3_m_618_et._925547406
599,1-к квартира,31.8,2570000,Девяткино ,"Россия, Ленинградская область, Всеволожский район, посёлок Мурино, Петровский бульвар",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_31.8_m_815_et._1050187982
439,3-к квартира,119.0,12360000,Проспект Просвещения ,Луначарского д.13 к.1,https://www.avito.ru/sankt-peterburg/kvartiry/3-k_kvartira_119_m_2025_et._954020720
518,1-к квартира,43.5,4400000,Международная ,"Южное шоссе, 51",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_43.5_m_2525_et._1019015882
143,1-к квартира,33.0,3350000,Купчино ,"Дунайский пр-кт, 42/79к1",https://www.avito.ru/sankt-peterburg/kvartiry/1-k_kvartira_33_m_69_et._1211953159
